"weeknum","pref","new","N501Y inspected","N501Y positives","days"
3,山口県,171,144,126,4/26-5/2
3,徳島県,180,83,74,4/26-5/2
3,香川県,157,123,111,4/26-5/2
3,愛媛県,189,142,104,4/26-5/2
3,高知県,78,2,1,4/26-5/2
3,福岡県,1923,750,628,4/26-5/2
3,佐賀県,80,122,104,4/26-5/2
3,長崎県,194,44,39,4/26-5/2
3,熊本県,360,76,62,4/26-5/2
3,大分県,309,0,0,4/26-5/2
3,宮崎県,135,134,115,4/26-5/2
3,鹿児島県,201,53,25,4/26-5/2
3,沖縄県,490,236,139,4/26-5/2
3,全国,36004,14751,10780,4/26-5/2
4,北海道,2005,851,747,5/3-5/9
4,青森県,161,32,2,5/3-5/9
4,岩手県,121,10,0,5/3-5/9
4,宮城県,221,42,20,5/3-5/9
4,秋田県,104,81,30,5/3-5/9
4,山形県,69,49,29,5/3-5/9
4,福島県,396,88,53,5/3-5/9
4,茨城県,296,127,49,5/3-5/9
4,栃木県,199,126,63,5/3-5/9
4,群馬県,530,211,98,5/3-5/9
4,埼玉県,1529,700,499,5/3-5/9
4,千葉県,917,372,269,5/3-5/9
4,東京都,5589,2614,1922,5/3-5/9
4,神奈川県,1683,430,286,5/3-5/9
4,新潟県,231,151,101,5/3-5/9
4,富山県,58,53,40,5/3-5/9
4,石川県,306,129,98,5/3-5/9
4,福井県,56,45,42,5/3-5/9
4,山梨県,75,44,34,5/3-5/9
4,長野県,195,110,64,5/3-5/9
4,岐阜県,603,42,37,5/3-5/9
4,静岡県,289,112,93,5/3-5/9
4,愛知県,2528,913,770,5/3-5/9
4,三重県,283,175,153,5/3-5/9
4,滋賀県,345,106,95,5/3-5/9
4,京都府,882,449,380,5/3-5/9
4,大阪府,6046,2086,1880,5/3-5/9
4,兵庫県,2721,1043,936,5/3-5/9
4,奈良県,554,115,105,5/3-5/9
4,和歌山県,138,159,96,5/3-5/9
4,鳥取県,27,13,11,5/3-5/9
4,島根県,25,14,12,5/3-5/9
4,岡山県,851,190,154,5/3-5/9
4,広島県,788,161,142,5/3-5/9
4,山口県,174,119,109,5/3-5/9
4,徳島県,140,63,60,5/3-5/9
4,香川県,255,112,105,5/3-5/9
4,愛媛県,120,77,45,5/3-5/9
4,高知県,55,102,94,5/3-5/9
4,福岡県,2640,564,498,5/3-5/9
4,佐賀県,294,66,57,5/3-5/9
4,長崎県,338,83,74,5/3-5/9
4,熊本県,461,139,128,5/3-5/9
4,大分県,441,16,16,5/3-5/9
4,宮崎県,284,88,74,5/3-5/9
4,鹿児島県,333,75,41,5/3-5/9
4,沖縄県,470,131,79,5/3-5/9
4,全国,36826,13478,10690,5/3-5/9
